date,trend,weekly,monthly,holiday
2019-01-26,300742597.46129787,-68353022.87551753,-7780723.798126166,0.0
2019-01-27,300913411.9990714,-59763072.45607988,-5711486.634348865,0.0
2019-01-28,301084226.53684497,29411053.37181991,586702.3904400162,0.0
2019-01-29,301255041.07461846,31709658.661052663,4951156.590392991,0.0
2019-01-30,301425855.612392,21788293.23715799,3091375.7981894696,0.0
2019-01-31,301596670.1501655,35016615.23987361,-2955260.3271655263,0.0
2019-02-01,301767484.68793905,10190474.821596352,-6645007.915901574,0.0
2019-02-02,301938299.2257126,-68353022.87551424,-3248962.7235389766,0.0
2019-02-03,302109113.7634861,-59763072.456032224,5540938.38050949,0.0
2019-02-04,302279928.30125964,29411053.371853027,13206641.256923385,0.0
2019-02-05,302450742.8390332,31709658.661034297,14551715.045425653,0.0
2019-02-06,302621557.3768067,21788293.237165455,10330043.592342516,0.0
2019-02-07,302792371.9145802,35016615.23986256,5923300.856727538,0.0
2019-02-08,302963186.4523538,10190474.821534015,5622215.159174782,0.0
2019-02-09,303134000.99012727,-68353022.8755787,8379065.739786026,0.0
2019-02-10,303304815.5279008,-59763072.45595818,9258714.998894136,0.0
2019-02-11,303475630.0656743,29411053.37179321,4951357.764113913,0.0
2019-02-12,303646444.60344785,31709658.66106586,-2422203.0622035316,0.0
2019-02-13,303817259.14122134,21788293.23714797,-7210549.123373514,0.0
2019-02-14,303988073.6789949,35016615.23988007,-5968185.750806754,0.0
2019-02-15,304158888.21676844,10190474.82147167,-1157451.2489125105,0.0
2019-02-16,304329702.75454193,-68353022.87539838,1098334.8507458433,0.0
2019-02-17,304500517.2923155,-59763072.45608469,-2873417.9890654,0.0
2019-02-18,304671331.83008903,29411053.371826325,-10406145.007659553,0.0
2019-02-19,304842146.3678625,31709658.661049232,-14836448.243906872,0.0
2019-02-20,305012960.9056361,21788293.237164095,-11916994.670130204,0.0
2019-02-21,305183775.4434096,35016615.23989759,-4023241.656909733,0.0
2019-02-22,305354589.9811831,10190474.821559278,2034580.5276347613,0.0
2019-02-23,305525404.51895666,-68353022.87546283,1502384.000981012,-19190476.193322387
2019-02-24,305696219.05673015,-59763072.45601063,-3872448.800208776,0.0
2019-02-25,305867033.5945037,29411053.371873125,-7780723.798125378,0.0
2019-02-26,306037848.13227725,31709658.661029134,-5711486.634366714,0.0
2019-02-27,306208662.67005074,21788293.237154737,586702.3904363792,0.0
2019-02-28,306379477.2078243,35016615.23988478,4951156.590387045,0.0
2019-03-01,306550291.7455978,10190474.821531583,3091375.7982084914,0.0
2019-03-02,306721106.2833713,-68353022.87545954,-2955260.3271861407,0.0
2019-03-03,306891920.8211449,-59763072.45593661,-6645007.915901763,0.0
2019-03-04,307062735.35891837,29411053.371919934,-3248962.7235248573,0.0
2019-03-05,307233549.8966919,31709658.661114085,5540938.380505524,0.0
2019-03-06,307404364.43446547,21788293.237154067,13206641.256917266,0.0
2019-03-07,307575178.97223896,35016615.23987374,14551715.04542457,0.0
2019-03-08,307745993.5100125,10190474.821434602,10330043.59234671,-107738098.46193951
2019-03-09,307916808.047786,-68353022.87552401,5923300.856733043,0.0
2019-03-10,308087622.58555955,-59763072.45606311,5622215.159178546,0.0
2019-03-11,308258437.1233331,29411053.37184644,8379065.739808504,0.0
