date,impressions,uniques
2018-12-17,297211452,97876222
2018-12-18,302120752,101288732
2018-12-19,301417218,103673099
2018-12-20,300242602,103526899
2018-12-21,283673847,101731522
2018-12-22,213611525,82591593
2018-12-23,220472473,87271217
2018-12-24,299265033,109841885
2018-12-25,293722239,109936212
2018-12-26,292828542,105620961
2018-12-27,294266222,107873007
2018-12-28,273454105,102009490
2018-12-29,240597331,92089362
2018-12-30,198567737,78235301
2018-12-31,186536680,72699488
2019-01-01,213764475,84275056
2019-01-02,233442413,92414432
2019-01-03,250763461,96882397
2019-01-04,227713501,87441296
2019-01-05,237268593,90586704
2019-01-06,228203372,89128680
2019-01-07,228756857,89565360
2019-01-08,242595513,92021028
2019-01-09,322637288,119121728
2019-01-10,329725348,119199038
2019-01-11,318430063,115194489
2019-01-12,238770741,92757110
2019-01-13,236954127,91016821
2019-01-14,340370540,119830133
2019-01-15,327053577,118624857
2019-01-16,319024083,113870512
2019-01-17,323686599,115467139
2019-01-18,313605140,112883577
2019-01-19,223595274,85065236
2019-01-20,234094565,88092634
2019-01-21,343051504,121666188
2019-01-22,337557961,114977926
2019-01-23,363917799,117062558
2019-01-24,678555793,113625722
2019-01-25,325600302,111777715
2019-01-26,256441080,92813215
2019-01-27,259464975,95787814
2019-01-28,335368241,115092019
2019-01-29,331547241,114747382
2019-01-30,401430079,114316645
2019-01-31,341470921,117288567
2019-02-01,339339399,116845818
2019-02-02,252863572,92207149
2019-02-03,311363100,110715309
2019-02-04,371115772,124740821
2019-02-05,351151012,121684440
2019-02-06,346575644,119930893
2019-02-07,333041353,122229229
2019-02-08,300675722,109639851
2019-02-09,223649057,86334583
2019-02-10,231900134,88918727
2019-02-11,316438628,112652536
2019-02-12,307818997,114776594
2019-02-13,305613644,113493236
2019-02-14,312630705,114671714
2019-02-15,314230184,116186322
2019-02-16,237818565,95004924
2019-02-17,253067503,101035582
2019-02-18,330771305,118835582
2019-02-19,323486824,118584566
2019-02-20,326006789,118724652
2019-02-21,324112918,118465779
2019-02-22,311725464,115682856
2019-02-23,219771086,84828005
2019-02-24,250992797,96964453
2019-02-25,350686468,128153526
2019-02-26,344657612,124251369
2019-02-27,348937009,122587136
2019-02-28,361336329,126810756
2019-03-01,337130691,121009998
