x,y
1015398,1055673
1533143,1490331
2283222,2092398
970809,707323
2122559,2379473
1520899,1041445
2600535,3134153
2158910,2423409
996583,1225905
1057676,1193916
2620966,1639866
2267978,2613386
5710620,4235004
1081198,896262
1353418,1006629
1926718,2169430
1067499,1081525
2616253,2835300
1353063,1404480
2230291,1268488
3841872,4246386
2268702,2508165
1044806,952213
1097279,724393
2766720,3305909
1540794,1420674
1156817,1380724
2887341,1771665
928867,864065
1427798,1119319
1359692,1349151
1036001,854221
3580433,4273358
1650227,1303973
412682,521895
1280269,970024
2583994,2817563
2096523,1953531
2027948,2325973
2950360,1790051
7825226,8098766
2729668,3378862
2557249,2765797
1591446,1454185
1733142,2078144
2252281,2077019
2591529,2807237
2800819,3448067
2022154,1928923
623146,735651
1129583,1312092
1566048,1414243
1332268,1258754
2783446,3393691
970203,819821
2480557,2401399
748675,738843
3755465,3467491
1362724,1533210
1565402,1602852
1049124,1034702
1076987,1027347
1245797,1439967
2410152,1793385
1471172,1520620
769678,836390
1603511,1431486
3244805,1974802
4347328,4861258
652504,817240
1821660,1153689
1263100,1366515
1216863,1278940
2162956,2419099
807851,980409
1318644,1388966
1602954,1629266
1098780,1572638
2457896,2794336
1750810,1814581
3520997,3938612
975748,1174560
2800209,3020964
5538897,5647811
2760219,3417296
5044922,5919374
2681429,2813787
1750973,1252254
1133651,1135722
3401556,2000075
2864135,2959300
2494469,2833824
853781,955884
1270721,946580
952222,643925
1467719,1520308
5592779,6998579
1360052,1358194
1457524,1508244
2615768,3202546
1123718,1231772
960693,971199
2727985,3336339
751142,686124
2763628,3395579
2095967,907584
1581005,1632202
2459458,2506249
1015679,1013331
1232235,1373895
1030852,1095774
1193104,450372
1720215,1954217
2744608,2819400
2795843,1873486
2638885,2837961
1485964,1753580
998550,1073194
1436194,975441
1014199,688942
2141206,2209674
2015308,2291591
1468087,1113780
2590940,3178752
2049219,2329301
974507,1168529
965864,1210192
2357247,2703931
2801351,1726635
5854398,4403497
1069366,1058216
1493016,996993
1895066,1738914
1043848,1126694
2539584,2888839
1252302,1581564
2363506,1342850
3665417,4065904
2192611,2494299
970062,1063677
988465,807489
2758778,3301513
1379398,1454351
1193037,1345869
3076569,1877500
1009283,1320249
920137,792775
1299279,1432169
3556450,4288770
930192,860149
1183979,1495214
583468,731384
991332,932935
2509137,2867227
1978170,2021322
1926105,2243297
3145485,1900812
7681445,7886931
2720165,3471716
2483221,2821226
1590628,1583791
1784671,2063430
2114225,2182485
2510120,2899192
2792927,3491185
1912854,1928383
687241,730011
1165095,1361098
1283875,1204603
1449914,1489775
2774866,3440973
2449758,2414483
937852,783507
735692,784532
3375349,3470685
1324717,1574068
1515991,1574073
1045495,1009044
1054367,961763
1172998,1370574
2538668,1681330
1382756,1557304
736563,864895
1479051,1540122
3650438,1870704
4236422,4815823
646537,871155
2160453,1103251
1192747,1423975
1246905,1657924
2107772,2395519
697790,963410
1474138,1538958
1263017,1305824
1069830,1176476
2372485,2760508
1604025,1696985
3376196,4117085
921928,1163486
4656818,5280000
2618895,2585383
2503658,3426541
4859890,6298384
2475973,2539904
1840126,1142165
1056356,1157107
3493517,1853116
2663582,2809893
2408202,2792726
784802,999019
1222003,953564
1013067,680527
1304252,1312328
1259861,1355849
5072804,6904679
1295339,1307958
2369316,3229783
1172646,1042952
894374,921780
2474944,3339136
650001,655855
2506980,3378653
1199240,1237178
1403193,1425262
850421,925229
2408863,2139870
987659,1135928
1148988,1360843
1190978,510515
1656894,1958181
2546659,2650263
3383663,1278977
2452277,2603287
1370431,1792349
933270,945867
1415221,1413721
1097380,702752
1927676,2086356
1859875,2328291
1511111,1132377
2347250,3221666
1894074,2367952
1163635,1189418
971124,1196334
2212641,2613075
3144943,1570343
6800953,3769081
1073792,990113
2184614,984315
980143,978232
1534117,1858337
2455141,2881617
1171745,1605717
2741495,1396037
3515839,4278736
2119849,2421750
863659,873443
951525,799418
2502496,3354201
1277277,1282689
1215107,1265585
3482215,1754691
1203037,1219321
804500,794539
3215332,4054266
791208,855991
1242513,1324839
1387328,1346684
527494,591708
957259,831563
2421441,2864586
1782950,1868113
3541863,1788374
1774249,2273356
2467602,3376477
6434787,7194030
2397406,2785395
1680257,1996817
1905630,2019667
1614594,1349171
2535333,3440507
2422010,2862574
1722602,1819505
679790,804162
1118963,1240924
1082688,1336872
1288446,1301530
2517692,3463805
2371147,1884553
848224,839434
719937,617620
3081707,3258217
1497560,1503879
1278987,1328468
971727,967493
916271,1025512
1076701,1374382
2185222,1410032
1286894,1689214
707651,802674
1314096,1319015
2248701,1736691
2966763,3346035
652845,895907
1273219,940870
1118188,1252450
1304233,1535481
1475366,1670273
894694,989602
834977,826429
760816,968347
760456,867600
1652461,1856634
948685,914878
2976392,3409795
694788,786529
1850220,2496960
1571028,1364260
1669484,2069504
3415086,3910984
1435574,1333495
1304161,1311278
660583,612306
2186013,1718418
1594654,1515474
1680355,1868085
592309,724494
1087499,833547
827569,806776
1002578,933944
3389004,4127897
768119,704185
996682,930799
544058,706404
1541315,1900540
525316,480277
1646560,2010422
474533,425340
1672052,2030624
776882,419431
1091643,997011
2169470,1879882
687437,763030
901926,1016988
1028648,1217482
885618,464449
1668079,1827987
1503606,1401519
1650090,1013618
1441412,1375280
1112045,1229866
724413,795052
558911,501165
1454781,1426841
769433,804169
1428346,1798759
682476,854965
1528126,1872438
1462142,1835918
1057324,969478
936386,1173612
2369072,2619354
1872948,1439442
5279224,3623300
403351,518840
1143586,841206
1757578,2195992
586236,525816
1723050,1918524
866166,1044999
1600882,1238950
3102018,3533781
1489567,1668440
387164,316059
897340,732476
1660356,2001603
