x,y
3652363,3866167
2197759,2344458
3835855,2864630
1266109,1067181
2908380,1823743
3741194,3791476
1276559,1157523
1452901,1740499
2567172,2728141
2262215,1869551
2963960,1863622
1848243,2058044
3727740,2989790
7007909,6611522
2515366,2676971
1874212,1945894
2407033,2055054
1696208,1418974
2552989,2717050
3846649,3045949
2187263,1820349
1783943,1449785
1224972,1224952
3820640,3021389
2720532,2220706
3350418,3109089
1576265,1259819
2263592,1995113
1334612,1549712
1811766,1487061
