x,y
3493517,2249000
2663582,2291000
2408202,2788000
784802,802000
1222003,1075000
1013067,883000
1304252,940000
1259861,1486000
5072804,7288000
1295339,936000
2369316,3453000
1172646,968000
894374,820000
2474944,3549000
650001,462000
2506980,3609000
1199240,1443000
1403193,1022000
850421,669000
2408863,2436000
987659,1134000
1148988,1131000
1190978,859000
1656894,1683000
2546659,2164000
3383663,1948000
2452277,2133000
1370431,1813000
933270,844000
1415221,1083000
1097380,916000
1927676,1495000
1859875,1849000
1511111,1301000
2347250,3436000
1894074,1890000
1163635,1043000
971124,1106000
2212641,2619000
3144943,1868000
6800953,4934000
1073792,1042000
2184614,1096000
980143,875000
1534117,1305000
2455141,2873000
1171745,1622000
2741495,1699000
3515839,3629000
2119849,2437000
863659,792000
951525,1135000
2502496,3558000
1277277,1016000
1215107,1280000
3482215,2065000
1203037,1021000
804500,829000
3215332,4437000
791208,609000
1242513,1132000
1387328,1126000
527494,411000
957259,898000
2421441,2853000
1782950,1335000
3541863,2104000
1774249,1781000
2467602,3589000
6434787,7046000
2397406,2781000
1680257,2072000
1905630,1452000
1614594,1585000
2535333,3635000
2422010,2862000
1722602,1303000
679790,897000
1118963,888000
1082688,1316000
1288446,932000
2517692,3632000
2371147,2140000
848224,1060000
719937,634000
3081707,2529000
1497560,1825000
1278987,1336000
971727,1104000
916271,748000
1076701,1069000
2185222,1878000
1286894,1328000
707651,718000
1314096,945000
2248701,1975000
2966763,3084000
652845,720000
1273219,970000
1118188,1223000
1304233,1640000
1475366,1540000
894694,929000
834977,836000
760816,855000
760456,826000
1652461,1681000
948685,917000
2976392,3211000
694788,701000
1850220,2003000
1571028,1486000
1669484,2189000
3415086,3492000
1435574,1455000
1304161,1387000
660583,753000
2186013,1995000
1594654,1659000
1680355,1691000
592309,603000
1087499,913000
827569,851000
1002578,909000
3389004,4436000
768119,835000
996682,907000
544058,570000
1541315,2058000
525316,583000
1646560,2174000
474533,399000
1672052,2189000
776882,462000
1091643,968000
2169470,2079000
687437,756000
901926,871000
1028648,1166000
885618,683000
1668079,1857000
1503606,1523000
1650090,1041000
1441412,1498000
1112045,1138000
724413,769000
558911,610000
1454781,1348000
769433,850000
1428346,1509000
682476,918000
1528126,2025000
1462142,1554000
1057324,911000
936386,1052000
2369072,2489000
1872948,1686000
5279224,3888000
403351,542000
1143586,859000
1757578,1828000
586236,646000
1723050,1726000
866166,922000
1600882,1444000
3102018,3322000
1489567,1540000
387164,436000
897340,1004000
1660356,2138000
802057,721000
1198533,1213000
2126161,1886000
881832,698000
382620,455000
980661,818000
2036526,2556000
623532,532000
1032124,785000
621096,678000
1010139,730000
1693169,1733000
1333777,1258000
2168825,1900000
1333871,1454000
2482752,2718000
1640393,2183000
1672161,1691000
1783323,1954000
1437990,1355000
1340991,1314000
1712842,1710000
1697322,2217000
1286430,1237000
651737,775000
880179,801000
991796,898000
1164399,1247000
1679861,2212000
2077012,1829000
664723,989000
657768,587000
1790899,1703000
1316073,1531000
426308,545000
587560,663000
694439,684000
839026,898000
2197785,1338000
992510,988000
693796,677000
1009804,911000
2742223,1856000
3395603,2851000
715226,625000
1497965,1005000
1418931,1272000
1475867,1730000
1689095,1419000
1073008,936000
972117,819000
794277,830000
1017829,932000
1882923,1534000
863093,924000
3387182,3638000
768208,683000
2186852,2001000
1511811,1482000
1975842,2279000
3889284,3280000
1375130,1488000
756077,845000
1732658,1623000
2674627,1785000
1533090,1614000
1912596,1555000
708810,816000
966157,969000
1193140,1033000
1137003,911000
4013696,4667000
874384,900000
1131661,907000
1819037,2147000
984508,424000
553311,574000
1949121,2270000
575212,401000
1979015,2278000
493756,516000
1226692,994000
2011404,2186000
822743,688000
1041411,1147000
1354288,1204000
1150442,561000
1879014,1850000
2177683,1435000
1446382,1509000
1383385,1487000
1247649,1130000
704659,686000
585432,604000
1026158,946000
1605441,1399000
1664486,1782000
746178,872000
1802789,2128000
1697986,1834000
1422225,1284000
1176748,1300000
2970953,2467000
2322406,1535000
3274181,3393000
477482,478000
1283004,894000
2160535,1914000
612267,627000
1959156,1619000
957916,882000
1936236,1292000
3522173,3718000
1703299,1419000
378969,470000
1009115,1036000
1964719,2240000
735154,710000
1697373,1289000
2603702,1755000
660797,841000
436105,454000
723670,519000
2394828,2642000
1090454,1594000
764659,962000
966142,507000
1227187,1026000
1935024,1596000
1484812,1257000
2653691,1785000
1553489,1655000
2983897,2755000
1938944,2291000
1904045,1548000
1223424,1356000
2183893,1880000
1585381,1380000
2010343,2328000
1948515,1604000
1434352,1234000
841597,888000
1126635,906000
1477150,1209000
876247,816000
1988148,2303000
1791556,1926000
768317,1028000
576790,590000
1624153,1763000
1306776,1650000
505959,486000
671155,733000
805608,615000
998183,1088000
1282562,1411000
1145802,1222000
795392,900000
1144098,915000
2904945,2006000
4985898,4658000
683335,687000
1818102,1101000
1429963,1399000
1380397,1520000
2480878,2321000
1020440,757000
1586577,1311000
1468397,1323000
1492449,970000
2816176,2656000
1666201,1469000
3844875,3752000
1263060,970000
2910507,2289000
5901368,7063000
5829058,5720000
3058237,3360000
2757200,2308000
1467369,1723000
1306450,1322000
2726027,1930000
